Bill Number,Year,Subfields,Failure Reason/ or Passed,Stalled in Committee? (1 Yes/0 No),Chamber,Sponsor Party,Bipartisan?,Introduced Month,# of Sponsors,Link
H.R. 8668,2024,General Ethical Usage; Data Usage; Deepfake,Stalled in Committee,1,House,Democrat,FALSE,June,2,https://www.congress.gov/bill/118th-congress/house-bill/8668
S. 5539,2024,General Ethical Usage; Policy Advisory; Data Usage,Stalled in Committee (Senate),1,Senate,Democrat,FALSE,December,2,https://www.congress.gov/bill/118th-congress/senate-bill/5539
H.R. 9497,2024,General Ethical Usage; Policy Advisory; AI in Government,Stalled in Committee,1,House,Republican,TRUE,September,12,https://www.congress.gov/bill/118th-congress/house-bill/9497
H.R. 9466,2024,General Ethical Usage; Policy Advisory; AI in Government,Stalled in Committee,1,House,Republican,TRUE,September,8,https://www.congress.gov/bill/118th-congress/house-bill/9466
H.R. 10263,2024,Data Usage; Large Language Models; General Ethical Usage,Stalled in Committee (House),1,House,Democrat,FALSE,November,2,https://www.congress.gov/bill/118th-congress/house-bill/10263
S. 4896,2024,Push for AI Research; AI in Government; Data Usage,Stalled in Committee,1,Senate,Democrat,FALSE,July,2,https://www.congress.gov/bill/118th-congress/senate-bill/4896
S. 3162,2024,General Ethical Usage; Policy Advisory; Data Usage,Senate Calendar Inaction,0,Senate,Democrat,TRUE,October,6,https://www.congress.gov/bill/118th-congress/senate-bill/3162
H.R. 9215,2024,Policy Advisory; AI in Government; General Ethical Usage,Expired Without Action,1,House,Democrat,TRUE,July,8,https://www.congress.gov/bill/118th-congress/house-bill/9215
H.R. 9720,2024,General Ethical Usage; Data Usage; Policy Advisory,Stalled in Committee,1,House,Democrat,TRUE,September,4,https://www.congress.gov/bill/118th-congress/house-bill/9720
S. 4495,2024,Policy Advisory; AI in Government; Data Usage,Senate Calendar Inaction,0,Senate,Democrat,TRUE,June,2,https://www.congress.gov/bill/118th-congress/senate-bill/4495
S.3975,2024,Data Usage; General Ethical Usage,Stalled in Committee (Senate),1,Senate,Democrat,FALSE,March,2,https://www.congress.gov/bill/118th-congress/senate-bill/3975
H.R.9673,2024,General Ethical Usage,Stalled in Committee (House),1,House,Democrat,TRUE,September,2,https://www.congress.gov/bill/118th-congress/house-bill/9673
S.4838,2024,Policy Advisory; General Ethical Usage,Stalled in Committee,1,Senate,Democrat,TRUE,July,2,https://www.congress.gov/bill/118th-congress/senate-bill/4838
S.4714,2024,Deepfake; General Ethical Usage,Stalled in Committee,1,Senate,Democrat,FALSE,July,5,https://www.congress.gov/bill/118th-congress/senate-bill/4714
H.R.7766,2024,Deepfake; General Ethical Usage; Policy Advisory,Stalled in Committee,1,House,Democrat,TRUE,March,19,https://www.congress.gov/bill/118th-congress/house-bill/7766
S. 5058,2024,AI in Government; Policy Advisory,Stalled in Committee,1,Senate,Republican,TRUE,September,3,https://www.congress.gov/bill/118th-congress/senate-bill/5058
H.Amdt.956,2024,Unclear,Amendment Passed,0,House,,FALSE,,0,https://www.congress.gov/amendment/118th-congress/house-amendment/956
H.Res. 1600,2024,General Ethical Usage; Policy Advisory,Stalled in Committee,1,House,Republican,TRUE,November,2,https://www.congress.gov/bill/118th-congress/house-resolution/1600
S. 4596,2024,General Ethical Usage; Policy Advisory,Stalled in Committee,1,Senate,Republican,TRUE,June,2,https://www.congress.gov/bill/118th-congress/senate-bill/4596
S. 3312,2024,Push for AI Research; AI in Government; Data Usage; Policy Advisory,Stalled in Committee,1,Senate,Republican,TRUE,November,8,https://www.congress.gov/bill/118th-congress/senate-bill/3312
H.R. 8700,2024,Push for AI Research; Policy Advisory,Stalled in Committee,1,House,Democrat,FALSE,June,1,https://www.congress.gov/bill/118th-congress/house-bill/8700
H.R. 6936,2024,AI in Government; Policy Advisory; General Ethical Usage,Stalled in Committee,1,House,Democrat,TRUE,January,5,https://www.congress.gov/bill/118th-congress/house-bill/6936
H.R. 9671,2024,Push for AI Research; AI in Government; Data Usage,Stalled in Committee,1,House,Republican,TRUE,September,2,https://www.congress.gov/bill/118th-congress/house-bill/9671
H.R. 7603,2024,AI in Government; Policy Advisory,Stalled in Committee,1,House,Republican,FALSE,March,1,https://www.congress.gov/bill/118th-congress/house-bill/7603
H.R. 10092,2024,General Ethical Usage; Data Usage; Policy Advisory,Stalled in Committee,1,House,Democrat,FALSE,November,15,https://www.congress.gov/bill/118th-congress/house-bill/10092
H.R. 9626,2024,AI in Government; Data Usage; General Ethical Usage,Stalled in Committee,1,House,Democrat,FALSE,September,1,https://www.congress.gov/bill/118th-congress/house-bill/9626
S. 4862,2024,General Ethical Usage; AI in Government; Data Usage,Stalled in Committee,1,Senate,Republican,TRUE,July,2,https://www.congress.gov/bill/118th-congress/senate-bill/4862
H.Amdt. 955,2024,Unclear,Amendment Passed,0,House,,FALSE,,0,https://www.congress.gov/amendment/118th-congress/house-amendment/955
S. 4769,2024,Policy Advisory; General Ethical Usage; Data Usage,Stalled in Committee,1,Senate,Democrat,TRUE,July,2,https://www.congress.gov/bill/118th-congress/senate-bill/4769
S. 4178,2024,General Ethical Usage; AI in Government; Data Usage,Stalled in Committee,1,Senate,Democrat,TRUE,April,9,https://www.congress.gov/bill/118th-congress/senate-bill/4178
H.R. 1,2025,Deepfake; Policy Advisory; Push for AI ,Passed,0,,,,,,https://www.congress.gov/bill/119th-congress/house-bill/1
H.R. 2575,2019,Data Usage; General Ethical Usage,Senate Calendar Inaction,0,House,Democrat,TRUE,May,2,https://www.congress.gov/bill/116th-congress/house-bill/2575
